method,N,beta,seed,recon_rel_l2,two_body_xx,stderr_two_body_xx,two_body_xy,stderr_two_body_xy,two_body_xz,stderr_two_body_xz,two_body_yx,stderr_two_body_yx,two_body_yy,stderr_two_body_yy,two_body_yz,stderr_two_body_yz,two_body_zx,stderr_two_body_zx,two_body_zy,stderr_two_body_zy,two_body_zz,stderr_two_body_zz,mx,stderr_mx,my,stderr_my,mz,stderr_mz,energy_density,stderr_energy_density,runtime_s,peak_mem_mb,effective_samples,mean_weight,tn_converged,tn_max_bond_observed
ed,6,6.0,0,0.0,-0.008142910765360376,,0.0,,0.035175455066182394,,0.0,,-0.0025661177294425104,,0.0,,-0.050617625430480234,,0.0,,-0.14095671129314535,,-0.053262575848465214,,0.0,,0.11407943893260551,,-0.34813401722530224,,0.014051700010895729,195.8359375,,,,
stochastic,6,6.0,0,0.0,-0.0034636232159189944,0.0023589804274030826,0.0,0.0,0.004426152537085013,0.002569245250447195,0.0,0.0,-0.00020075385838502012,0.0010530049073708327,0.0,0.0,-0.023465177982424198,0.0172719704183636,0.0,0.0,-0.14464584937503575,0.029239430398296178,-0.019708006144808922,0.05275556405604694,0.0,0.0,0.12568720686981394,0.07686843684126272,-0.3461521622078041,0.00790209178319618,4.473804900015239,193.7734375,1.9329817343509343,38812551567.02647,,
ed,6,6.0,1,0.0,0.020118168147799924,,0.0,,0.02396835338693708,,0.0,,0.0016197518539658377,,0.0,,0.0642732722919846,,0.0,,-0.09808230968216819,,0.19524341031845358,,0.0,,0.1717480906395791,,-0.15820292269172123,,0.011202699999557808,196.046875,,,,
stochastic,6,6.0,1,0.0,0.02074819283387511,0.010501494520382869,0.0,0.0,-0.03347844378889425,0.04690014066169602,0.0,0.0,-0.0006470811296903755,0.006426689525771357,0.0,0.0,0.036516673557354995,0.032975017990144344,0.0,0.0,-0.12678969807242,0.0445454294054384,0.22854832457897176,0.04235865672140197,0.0,0.0,0.08933662821386704,0.09464636813134984,-0.16332746677270368,0.012284483476119995,4.481455100001767,195.92578125,2.586659943159293,511732.76968571683,,
ed,8,6.0,0,0.0,-0.017880006233820106,,0.0,,0.006940376172800229,,0.0,,-0.002700531946927167,,0.0,,-0.024236265668989454,,0.0,,-0.09100050176981643,,0.035441353402467624,,0.0,,0.13314882807182665,,-0.29551422046735776,,0.31043769998359494,230.40234375,,,,
stochastic,8,6.0,0,0.0,-0.027480880376487004,0.007310019864468028,0.0,0.0,0.03025991119222298,0.021348062061726288,0.0,0.0,-0.0014924727914480053,0.006795754824882262,0.0,0.0,-0.03111334717812447,0.014212614312861685,0.0,0.0,0.020097015167432043,0.03717204277552242,0.018369861489341787,0.03350141121355057,0.0,0.0,0.3096135183840618,0.08275175383880477,-0.2143034012992343,0.02397289084524883,8.02123680000659,197.69140625,2.7776583030253015,62748977724.965775,,
ed,8,6.0,1,0.0,-0.008890233551091729,,0.0,,-0.024529227274657672,,0.0,,5.100625274106098e-05,,0.0,,0.007952841646963476,,0.0,,-0.10014047916730519,,0.10170513315386742,,0.0,,-0.034933566645567946,,-0.15873801329039594,,0.2948575000045821,230.984375,,,,
stochastic,8,6.0,1,0.0,-0.005440397406897453,0.014644785381029373,0.0,0.0,-0.020313858207894886,0.021647719741896602,0.0,0.0,0.010264409719937284,0.010304493329796804,0.0,0.0,-0.0013395636366499858,0.01178615166665728,0.0,0.0,-0.0841163093503389,0.00847408613319921,0.15673697030703304,0.04251820973735014,0.0,0.0,-0.08629647612030357,0.037374688274783276,-0.13718394635915235,0.013630086114826316,8.028513500001281,228.45703125,5.725312303372045,315814653.63509905,,
ed,10,6.0,0,0.0,-0.0018450326490615935,,0.0,,0.004369118343391584,,0.0,,-0.0006003359182502521,,0.0,,-0.000622891399773067,,0.0,,-0.09350806483324925,,0.044880779211304435,,0.0,,-0.012556582786373305,,-0.34592824844150116,,12.970547499979148,749.9375,,,,
stochastic,10,6.0,0,0.0,-0.006871605101065411,0.0030168038983160997,0.0,0.0,0.01950227733267561,0.005481667232948304,0.0,0.0,0.00027898928324704756,0.001903815302317788,0.0,0.0,-0.008731459962451307,0.010050963751852222,0.0,0.0,-0.050012097203324855,0.008649873452339793,0.012437980944896626,0.024567124304655498,0.0,0.0,-0.2002669635885674,0.040460649805518174,-0.33234055800654544,0.013375485140675707,12.713862600008724,229.15625,1.190516735979195,4964208761929314.0,,
ed,10,6.0,1,0.0,-0.0025933976648131463,,0.0,,0.00896838629966491,,0.0,,-0.00021937486065151877,,0.0,,0.002963008506803877,,0.0,,-0.09278250735208968,,0.00680551646435934,,0.0,,0.05580477529620716,,-0.31268156413386694,,12.623014600016177,749.953125,,,,
stochastic,10,6.0,1,0.0,0.0011000285791418997,0.015449822164639561,0.0,0.0,-0.0063154719692096505,0.04259596007767882,0.0,0.0,-0.00980369112229864,0.028614187049243553,0.0,0.0,0.015900145743183658,0.02352047535550063,0.0,0.0,-0.009432437861898294,0.03502490037908876,0.126205201453593,0.07085146287338454,0.0,0.0,0.16859980730086613,0.0883626072564167,-0.19462797184341527,0.026161083869658125,12.723830000002636,717.98828125,4.861087388280528,7575077262752.023,,
stochastic,12,6.0,0,0.0,-0.004563458969506627,0.020778152318245976,0.0,0.0,0.07486132882705013,0.03554071501557212,0.0,0.0,-0.043808184025044994,0.0342500257635975,0.0,0.0,0.045781662956632815,0.025848084557245292,0.0,0.0,-0.04497465201321925,0.008454545961118075,-0.35650610298669844,0.12360309725458632,0.0,0.0,-0.14416427096806667,0.04044755728458281,-0.21778659753729981,0.023000307809212684,18.61700359999668,718.03515625,2.2449205366049476,1777735850729313.2,,
tn_dmrg,12,6.0,0,0.0,-0.006212945819101313,,-2.579371937792268e-10,,0.005152757661124394,,1.0022537608050386e-09,,0.00021293426566483005,,-5.108153781960986e-11,,-0.008217314587730225,,7.356451339790815e-11,,-0.06902547884698897,,0.03838855618729464,,-3.9488519317202713e-10,,-0.11328921632861881,,-0.306605557410583,,0.4759323000034783,731.109375,,,1.0,7.0
stochastic,12,6.0,1,0.0,0.15212884210712682,0.12053297136670763,0.0,0.0,-0.18999790560728116,0.08942399771142313,0.0,0.0,0.11338570918540017,0.11380011916047354,0.0,0.0,0.005549351358896445,0.033331940023826764,0.0,0.0,-0.035744510733447483,0.01228002405326286,0.5126341649738647,0.17683080787823616,0.0,0.0,-0.15760100830497978,0.038590675792715336,-0.27355041181078055,0.02780888995917375,18.436695800017333,731.1484375,4.182941761382774,5.53661986369328e+16,,
tn_dmrg,12,6.0,1,0.0,0.0034240693983149124,,6.7106014406920526e-09,,-0.04380964305790455,,1.995247608460698e-09,,0.001934939245911018,,5.420733162820177e-09,,0.02453768544643233,,-4.311588923885195e-09,,-0.06336168321114023,,0.10229014312956315,,-7.314369146720172e-09,,-0.1358581464758923,,-0.3247440226050891,,0.42827599999145605,736.7109375,,,1.0,9.0
stochastic,16,6.0,0,0.0,0.03685063536119815,0.024648678017317995,0.0,0.0,-0.0068207766025101865,0.0032818669680604643,0.0,0.0,0.026930161732920857,0.011220150368353861,0.0,0.0,0.018877425825278363,0.009549088012301928,0.0,0.0,-0.0498988155553432,0.0016015190517489795,-0.3748550709421233,0.1317988207066128,0.0,0.0,0.020157892231195403,0.02425496121945968,-0.3041267634769695,0.012014447230521658,33.23574739997275,737.3203125,1.44123700483692,2.0549205938837647e+26,,
tn_dmrg,16,6.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.3278351840415665,,1.850791599979857,738.0234375,,,1.0,14.0
stochastic,16,6.0,1,0.0,-0.06358173882542442,0.15053691532071245,0.0,0.0,-0.035161664185947,0.04001127926341387,0.0,0.0,-0.11222938250525984,0.17264838888483877,0.0,0.0,-0.013890553492067536,0.018046548562192722,0.0,0.0,-0.01796631131296683,0.016157892916888364,0.15313601565843024,0.09142347505717588,0.0,0.0,-0.14834161312040664,0.05527673108099993,-0.28252642495555425,0.02024265631893283,33.32790390000446,738.59375,2.6306279957431244,2.3576943682987165e+29,,
tn_dmrg,16,6.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.38036521290813263,,1.8213994999823626,738.62109375,,,1.0,21.0
stochastic,20,6.0,0,0.0,-0.07449678144558541,0.05755210720892616,0.0,0.0,-0.0483082438756315,0.05406407073465222,0.0,0.0,0.17870250780493255,0.029869502455018716,0.0,0.0,0.030650517087450087,0.03861984342888053,0.0,0.0,-0.04009052834324149,0.004180645571840034,0.30812027376208795,0.3588157160288485,0.0,0.0,-0.030052898396261647,0.0433676334232742,-0.23504539634097069,0.03035608585733319,52.09457759998622,739.7578125,1.33937836809593,3.442319451196027e+39,,
tn_dmrg,20,6.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.4347175248285663,,3.5532233999983873,740.6484375,,,1.0,9.0
stochastic,20,6.0,1,0.0,-0.05061076541518082,0.04919131040748812,0.0,0.0,-0.01876830389163873,0.016066963980839583,0.0,0.0,-0.013805857202959855,0.028832308898181603,0.0,0.0,0.008701622176478869,0.017112522787999174,0.0,0.0,-0.031051375960846443,0.005512656608308748,0.07593801636852222,0.06632205875738724,0.0,0.0,-0.007418734460546161,0.04117555757340857,-0.18606965005100237,0.010292872508836818,54.66286729997955,741.6484375,1.9482821333626086,6.625449828393663e+31,,
tn_dmrg,20,6.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.3076098904188416,,3.4718370999908075,746.58984375,,,1.0,14.0
