lambda,d_exact_tau,d_exact_weak,d_exact_hmf,d_exact_hmf_v4,d_exact_hmf_sym,d_exact_hmf_eq67,d_exact_hmf_ord,d_exact_hmf_collapsed_direct,d_sym_eq67,d_sym_ord,d_eq67_ord,d_eq67_collapsed_direct,d_exact_eq67_xonly,d_exact_eq67_zonly,d_exact_us,d_weak_tau,d_us_projector_vs_closed,q_reorg,alpha0,delta_x0,delta_y0,delta_z0,kernel_eff_v4,kernel_base_v4,lambda_paper_v4,sym_nonherm_maxabs,eq67_nonherm_maxabs,collapsed_direct_nonherm_maxabs,eq67_xonly_nonherm_maxabs,eq67_zonly_nonherm_maxabs,delta_x_amp_eq67,delta_z_amp_eq67,hx_v4,hy_v4,hz_v4,phi_v4,hx_v4_rot,hy_v4_rot,hx_eq67,hy_eq67,hz_eq67,phi_eq67,hx_eq67_rot,hy_eq67_rot,hx_num_lab,hy_num_lab,hz_num,hx_ord,hy_ord,hz_ord,hx_num_rot,hy_num_rot,exact_bloch_x,exact_bloch_y,exact_bloch_z,exact_coherence_hs,tau_bloch_x,tau_bloch_y,tau_bloch_z,tau_coherence_hs,weak_bloch_x,weak_bloch_y,weak_bloch_z,weak_coherence_hs,hmf_bloch_x,hmf_bloch_y,hmf_bloch_z,hmf_coherence_hs,sym_bloch_x,sym_bloch_y,sym_bloch_z,sym_coherence_hs,eq67_bloch_x,eq67_bloch_y,eq67_bloch_z,eq67_coherence_hs,ord_bloch_x,ord_bloch_y,ord_bloch_z,ord_coherence_hs,collapsed_direct_bloch_x,collapsed_direct_bloch_y,collapsed_direct_bloch_z,collapsed_direct_coherence_hs,eq67_xonly_bloch_x,eq67_xonly_bloch_y,eq67_xonly_bloch_z,eq67_xonly_coherence_hs,eq67_zonly_bloch_x,eq67_zonly_bloch_y,eq67_zonly_bloch_z,eq67_zonly_coherence_hs,us_bloch_x,us_bloch_y,us_bloch_z,us_coherence_hs,res_sym_minus_exact_bloch_x,res_eq67_minus_exact_bloch_x,res_ord_minus_exact_bloch_x,res_sym_minus_ord_bloch_x,res_eq67_minus_ord_bloch_x,res_sym_minus_exact_bloch_y,res_eq67_minus_exact_bloch_y,res_ord_minus_exact_bloch_y,res_sym_minus_ord_bloch_y,res_eq67_minus_ord_bloch_y,res_sym_minus_exact_bloch_z,res_eq67_minus_exact_bloch_z,res_ord_minus_exact_bloch_z,res_sym_minus_ord_bloch_z,res_eq67_minus_ord_bloch_z
0.0,1.1102230246251565e-16,6.591949208711867e-17,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,6.245004513516506e-17,6.938893903907228e-18,6.591949208711867e-17,2.0816681711721685e-17,6.245004513516506e-17,6.938893903907228e-17,1.734723475976807e-17,6.591949208711867e-17,6.591949208711867e-17,0.11238574846349797,6.591949208711867e-17,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.0,275.1428437036148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.5000000000000004,-3.141592653589793,0.0,0.0,-0.0,-0.0,1.5000000000000004,-3.141592653589793,0.0,0.0,-0.0,-0.0,1.5000000000000004,-0.0,-0.0,1.5000000000000009,0.0,0.0,0.0,0.0,-0.9051482536448664,0.0,0.0,0.0,-0.9051482536448666,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448664,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16
0.16666666666666666,0.033319088989630936,0.334104591399662,0.1371702177503295,0.1371702177503295,0.1371702177503295,0.2960283381495845,0.019124904864818767,0.05213060496491534,0.17697811205499264,0.11913165170048384,0.2769607352101033,0.24414506188560675,0.35592893803546943,0.0615859581404916,0.07908294621503133,0.36708854524604934,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,110.72865014910259,275.1428437036148,0.40244059652294656,5.551115123125783e-17,0.7165476645868533,2.914335439641036e-16,0.9051482536448664,0.0,26.543071368324934,-6.77755883829517,-5.540844692607308,-0.0,15.504758578669874,-3.141592653589793,5.540844692607308,-6.78557771737414e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.10756430992679933,-0.0,1.4600945803038772,-0.16840005885523845,-0.0,1.443922999440805,0.10756430992679933,-1.3172828785434867e-17,0.0660084182025491,0.0,-0.8960084784401273,0.0660084182025491,0.0,0.0,-0.9051482536448666,0.0,0.7069938398752582,0.0,-0.7072197044613773,0.7069938398752582,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.10384318315424526,0.0,-0.8903890028949026,0.10384318315424526,0.16933679934567722,0.0,-0.8820928201239473,0.16933679934567722,0.7413932584733398,0.0,-0.6710708131712207,0.7413932584733398,0.0,0.0,-0.9999998708085677,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.27051277579682903,0.5774828871593174,0.03783476495169616,0.23267801084513287,0.5396481222076213,0.0,0.0,0.0,0.0,0.0,-0.04566741378035055,0.1305550573074753,0.005619475545224684,-0.051286889325575236,0.12493558176225061
0.3333333333333333,0.0681039607200353,0.5339480120022494,0.1046366591577224,0.1046366591577224,0.1046366591577224,0.2613556675715589,0.01717621986060878,0.18313845318904823,0.17697811205499264,0.08939663016463342,0.24421525916760178,0.08119613109250426,0.32173080326774717,0.08833393868716644,0.044322131913304384,0.5938843263334979,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,442.91460059641037,275.1428437036148,1.6097623860917862,0.0,0.7165476645868533,8.881784197001252e-16,0.9051482536448665,0.0,106.17228547329974,-27.11023535318068,-5.540844692607307,-0.0,15.504758578669874,-3.141592653589793,5.540844692607307,-6.785577717374139e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.2184590256885128,-0.0,1.4352612955925712,-0.27332080611033066,-0.0,1.4258743846588093,0.2184590256885128,-2.6753514655428662e-17,0.1348330191862042,0.0,-0.8858439846828692,0.1348330191862042,0.0,0.0,-0.9051482536448666,0.0,0.9742077221682129,0.0,-0.22565308344408241,0.9742077221682129,0.3365211939993781,0.0,-0.9416758922204779,0.3365211939993781,0.3365211939993781,0.0,-0.9416758922204779,0.3365211939993781,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.1686903954491074,0.0,-0.8800329445529025,0.1686903954491074,0.4978868759883614,0.0,-0.8373602842569778,0.4978868759883614,0.7413932584733399,0.0,-0.6710708131712207,0.7413932584733399,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.2016881748131739,0.5086582861756623,0.03385737626290322,0.16783079855027067,0.4748009099127591,0.0,0.0,0.0,0.0,0.0,-0.055831907537608694,0.12039056355021716,0.005811040129966694,-0.06164294766757539,0.11457952342025046
0.5,0.08338671757229087,0.5739651465393603,0.0910033889517475,0.0910033889517475,0.0910033889517475,0.24610645281453475,0.011356372013109472,0.19817409353322327,0.17697811205499261,0.0814353113425578,0.23476120052325308,0.053331427649693244,0.3066905006544697,0.1017659813335551,0.02904803458109548,0.6438780943022155,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,996.5578513419234,275.1428437036148,3.6219653687065194,2.7755575615628914e-17,0.7165476645868533,9.992007221626409e-16,0.9051482536448672,0.0,238.88764231492445,-60.99802954465653,-5.54084469260731,-0.0,15.504758578669874,-3.141592653589793,5.54084469260731,-6.785577717374142e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.2673785059506012,-0.0,1.4274390909651424,-0.30357386122849167,-0.0,1.4207102426163718,0.2673785059506012,-3.274442314732053e-17,0.16498953724202722,0.0,-0.8808206711388772,0.16498953724202722,0.0,0.0,-0.9051482536448666,0.0,0.9960384853825722,0.0,-0.08892320077905158,0.9960384853825722,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.1872790007596684,0.0,-0.8764562058455925,0.1872790007596684,0.5579593383893038,0.0,-0.8291813375148962,0.5579593383893038,0.74139325847334,0.0,-0.6710708131712203,0.74139325847334,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.17153165675735096,0.47850176811983924,0.02228946351764119,0.14924219323970978,0.4562123046021981,0.0,0.0,0.0,0.0,0.0,-0.060855221081600686,0.11536725000622516,0.004364465293284714,-0.0652196863748854,0.11100278471294045
0.6666666666666666,0.09055886051694542,0.5865384739356327,0.0848738904388986,0.0848738904388986,0.0848738904388986,0.23893901803503265,0.008718833622685052,0.1916506023193602,0.17697811205499264,0.07779256031546296,0.2302240561681986,0.05277000669715498,0.2996115641561229,0.10830195806036158,0.02187476557391407,0.6610455792725495,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,1771.6584023856415,275.1428437036148,6.439049544367145,5.551115123125783e-17,0.7165476645868533,9.992007221626409e-16,0.9051482536448665,0.0,424.68914189319895,-108.44094141272272,-5.540844692607308,-0.0,15.504758578669874,-3.141592653589793,5.540844692607308,-6.78557771737414e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.29032046680331985,-0.0,1.4235352636226335,-0.31799978906524823,-0.0,1.4177942829354562,0.29032046680331985,-3.555400303976511e-17,0.17909805736136603,0.0,-0.8781757728191222,0.17909805736136603,0.0,0.0,-0.9051482536448666,0.0,0.9992225893488396,0.0,-0.039423558122021696,0.9992225893488396,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.1961567279113223,0.0,-0.8745599744248104,0.1961567279113223,0.559232692082927,0.0,-0.8290079686928483,0.559232692082927,0.7413932584733399,0.0,-0.6710708131712207,0.7413932584733399,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.1574231366380121,0.46439324800050047,0.017058670549956273,0.14036446608805583,0.44733457745054417,0.0,0.0,0.0,0.0,0.0,-0.06350011940135569,0.11272235168647016,0.003615798394311809,-0.0671159177956675,0.10910655329215835
0.8333333333333333,0.09468601397978667,0.5916652900623095,0.08145761634286361,0.08145761634286361,0.08145761634286361,0.23480977999600292,0.007391821941921187,0.18753177420374684,0.17697811205499256,0.07560728698871644,0.22741961080246087,0.052767748405662444,0.2955280210009462,0.11212413227379242,0.01774385531794837,0.6688834570756288,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,2768.2162537275644,275.1428437036148,10.061014913073663,0.0,0.7165476645868533,8.881784197001252e-16,0.9051482536448661,0.0,663.5767842081234,-169.43897095737924,-5.540844692607312,-0.0,15.504758578669874,-3.141592653589793,5.540844692607312,-6.785577717374145e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.303482587552393,-0.0,1.42102475340236,-0.3268902927589596,-0.0,1.4158752651309683,0.303482587552393,-3.716589794429945e-17,0.18719737246324866,0.0,-0.8765316725007609,0.18719737246324866,0.0,0.0,-0.9051482536448666,0.0,0.9998656542394557,0.0,-0.016391262071757506,0.9998656542394557,0.3365211939993783,0.0,-0.9416758922204779,0.3365211939993783,0.3365211939993783,0.0,-0.9416758922204779,0.3365211939993783,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.20163118210646866,0.0,-0.8733346010802951,0.20163118210646866,0.5592378225851927,0.0,-0.829007270168048,0.5592378225851927,0.7413932584733397,0.0,-0.6710708131712211,0.7413932584733397,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.14932382153612964,0.45629393289861786,0.014433809643219997,0.13489001189290964,0.4418601232553978,0.0,0.0,0.0,0.0,0.0,-0.06514421971971696,0.1110782513681089,0.003197071420465769,-0.06834129114018272,0.10788117994764312
1.0,0.09743068924903324,0.59402647355639,0.07923814253743758,0.07923814253743758,0.07923814253743758,0.23206176448136312,0.006564407052722061,0.18479213878610518,0.17697811205499261,0.07414156235159947,0.22549815561232722,0.05276774653302094,0.2928080473205641,0.11468839219348417,0.014995242711962892,0.67310728508348,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,3986.2314053676937,275.1428437036148,14.487861474826078,2.7755575615628914e-17,0.7165476645868533,9.992007221626409e-16,0.9051482536448672,0.0,955.5505692596978,-243.99211817862613,-5.54084469260731,-0.0,15.504758578669874,-3.141592653589793,5.54084469260731,-6.785577717374142e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3122160547117162,-0.0,1.419236596751155,-0.33297179028782004,-0.0,1.414517880868563,0.3122160547117162,-3.8235439204511814e-17,0.192575174913842,0.0,-0.8753865528018387,0.192575174913842,0.0,0.0,-0.9051482536448666,0.0,0.9999925246749815,0.0,-0.0038665998185118955,0.9999925246749815,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.2053766819022177,0.0,-0.8724732765290015,0.2053766819022177,0.5592378268395842,0.0,-0.8290072695888069,0.5592378268395842,0.74139325847334,0.0,-0.6710708131712203,0.74139325847334,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.1439460190855362,0.4509161304480245,0.012801506988375705,0.1311445120971605,0.4381146234596488,0.0,0.0,0.0,0.0,0.0,-0.06628933941863913,0.10993313166918672,0.0029132762728372175,-0.06920261569147634,0.1070198553963495
1.1666666666666665,0.09941787674784153,0.5951738561648185,0.07765954563226993,0.07765954563226993,0.07765954563226993,0.2300712750063671,0.005971587146705454,0.18280930245811183,0.17697811205499261,0.07309215448624301,0.2241000953399763,0.0527677465327004,0.2908367287788809,0.11655508598170268,0.013004509762481076,0.6756417800999484,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,5425.703857306026,275.1428437036148,19.71958922962438,0.0,0.7165476645868533,9.992007221626409e-16,0.9051482536448658,0.0,1300.6104970479219,-332.1003830764633,-5.54084469260731,-0.0,15.504758578669874,-3.141592653589793,5.54084469260731,-6.785577717374142e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.31853011161459,-0.0,1.4178890061815161,-0.3373918964719234,-0.0,1.4135095048792359,0.31853011161459,-3.9008688162085676e-17,0.19646464392163243,0.0,-0.8745328889248078,0.19646464392163243,0.0,0.0,-0.9051482536448666,0.0,0.9999932043451727,0.0,0.00368663308097944,0.9999932043451727,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.20809926113314392,0.0,-0.8718356506067515,0.20809926113314392,0.5592378268403125,0.0,-0.8290072695887079,0.5592378268403125,0.7413932584733396,0.0,-0.6710708131712209,0.7413932584733396,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.14005655007774576,0.44702666144023406,0.011634617211511489,0.12842193286623427,0.4353920442287226,0.0,0.0,0.0,0.0,0.0,-0.06714300329567002,0.10907946779215583,0.0026972383180563497,-0.06984024161372637,0.10638222947409948
1.3333333333333333,0.10093346825154209,0.5957319010326673,0.0764724952225428,0.0764724952225428,0.0764724952225428,0.22855270719226622,0.005513796990469684,0.18129746412123746,0.17697811205499264,0.07230578720284989,0.22303912095133496,0.052767746532700346,0.2893321643065754,0.11798409744970687,0.01148583748960377,0.6772816035224338,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,7086.633609542566,275.1428437036148,25.75619817746858,0.0,0.7165476645868533,9.43689570931383e-16,0.9051482536448664,0.0,1698.7565675727958,-433.7637656508909,-5.540844692607308,-0.0,15.504758578669874,-3.141592653589793,5.540844692607308,-6.78557771737414e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3233410107226827,-0.0,1.4168342712393323,-0.3407435725012624,-0.0,1.4127327249176607,0.3233410107226827,-3.9597853381460335e-17,0.19942877969557157,0.0,-0.8738685176761056,0.19942877969557157,0.0,0.0,-0.9051482536448666,0.0,0.9999631163069467,0.0,0.008588715020283133,0.9999631163069467,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21016390671819749,0.0,-0.8713456469270309,0.21016390671819749,0.5592378268403126,0.0,-0.8290072695887079,0.5592378268403126,0.7413932584733398,0.0,-0.6710708131712207,0.7413932584733398,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.13709241430380656,0.4440625256662949,0.010735127022625912,0.12635728728118065,0.433327398643669,0.0,0.0,0.0,0.0,0.0,-0.06780737454437225,0.1084150965434536,0.002522870749074757,-0.070330245293447,0.10589222579437885
1.5,0.10213083549936551,0.59598404058746,0.0755455081418519,0.0755455081418519,0.0755455081418519,0.22735272389275352,0.005144702771531157,0.18010334649139734,0.17697811205499264,0.07169611653766325,0.22220812792515823,0.05276774653270021,0.2881428710831426,0.11911615946892998,0.010285810549819165,0.678403458538879,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,8969.020662077311,275.1428437036148,32.59768831835868,2.7755575615628914e-17,0.7165476645868533,8.326672684688674e-16,0.9051482536448654,0.0,2149.98878083432,-548.9822659019088,-5.540844692607308,-0.0,15.504758578669874,-3.141592653589793,5.540844692607308,-6.78557771737414e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3271390239668293,-0.0,1.4159854545900095,-0.34336709717684605,-0.0,1.4121174030708898,0.3271390239668293,-4.006297585771668e-17,0.20176915339034937,0.0,-0.8733356935571355,0.20176915339034937,0.0,0.0,-0.9051482536448666,0.0,0.999928605403798,0.0,0.011949229900511671,0.999928605403798,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21178011194769503,0.0,-0.8709581790581872,0.21178011194769503,0.5592378268403129,0.0,-0.8290072695887076,0.5592378268403129,0.7413932584733396,0.0,-0.6710708131712211,0.7413932584733396,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.13475204060902876,0.4417221519715171,0.010010958557345656,0.1247410820516831,0.43171119341417147,0.0,0.0,0.0,0.0,0.0,-0.0683401986633424,0.10788227242448345,0.0023775144989482966,-0.0707177131622907,0.10550475792553515
1.6666666666666665,0.103101753984356,0.5960701789867374,0.07480110940380277,0.07480110940380277,0.07480110940380277,0.22637951897246694,0.0048385079503708295,0.1791352576335434,0.1769781120549926,0.07121078347394824,0.22154106205709984,0.052767746532700346,0.2871780931351821,0.12003606010939441,0.009312590136272093,0.6792046975445818,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,11072.865014910258,275.1428437036148,40.24405965229465,0.0,0.7165476645868533,8.881784197001252e-16,0.9051482536448661,0.0,2654.3071368324936,-677.755883829517,-5.540844692607311,-0.0,15.504758578669874,-3.141592653589793,5.540844692607311,-6.785577717374143e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3302169939715106,-0.0,1.4152873901780463,-0.34547205306313233,-0.0,1.4116190789570058,0.3302169939715106,-4.043991846912713e-17,0.20366600838907947,0.0,-0.8728985447242873,0.20366600838907947,0.0,0.0,-0.9051482536448666,0.0,0.9998969940547574,0.0,0.014352744694323627,0.9998969940547574,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.2130769230450738,0.0,-0.8706448095843923,0.2130769230450738,0.5592378268403126,0.0,-0.8290072695887079,0.5592378268403126,0.7413932584733398,0.0,-0.6710708131712209,0.7413932584733398,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.13285518561029877,0.43982529697278705,0.009410914655994335,0.12344427095430444,0.4304143823167927,0.0,0.0,0.0,0.0,0.0,-0.06877734749619058,0.10744512359163527,0.002253735139895019,-0.0710310826360856,0.10519138845174025
