sweep,param_name,param,beta,theta,g,ordered_p00,ordered_p11,ordered_coh,ordered_ratio,compact_raw_p00,compact_raw_p11,compact_raw_coh,compact_raw_ratio,compact_running_p00,compact_running_p11,compact_running_coh,compact_running_ratio,raw_dp00,raw_dp11,raw_dcoh,raw_ratio_over_ordered,running_dp00,running_dp11,running_dcoh,running_ratio_over_ordered
coupling,g,0.0,2.0,0.7853981633974483,0.0,0.017986209962091555,0.9820137900379085,0.0,0.01831563888873418,0.01798620996209155,0.9820137900379085,0.0,0.01831563888873417,0.01798620996209155,0.9820137900379085,0.0,0.01831563888873417,-6.938893903907228e-18,0.0,0.0,0.9999999999999997,-6.938893903907228e-18,0.0,0.0,0.9999999999999997
coupling,g,0.2,2.0,0.7853981633974483,0.2,0.0387330200231973,0.9612669799768027,0.04718362692899279,0.04029371738549888,0.046601632379529356,0.9533983676204707,0.06949234235357978,0.048879496716403605,0.03747973238177954,0.9625202676182205,0.04733987546661672,0.03893916174308104,0.007868612356332058,-0.007868612356331961,0.022308715424586983,1.2130798518479364,-0.001253287641417758,0.001253287641417855,0.0001562485376239292,0.966382956691275
coupling,g,0.4,2.0,0.7853981633974483,0.4,0.08617844214964597,0.913821557850354,0.1502814154490515,0.09430554730222114,0.16216280282704143,0.8378371971729586,0.3501317927300022,0.1935492997615925,0.08201209242382013,0.9179879075761799,0.1554863834828158,0.08933896813560618,0.07598436067739546,-0.07598436067739545,0.19985037728095073,2.052363888428798,-0.004166349725825844,0.0041663497258258575,0.005204968033764301,0.9473352383959074
coupling,g,0.6000000000000001,2.0,0.7853981633974483,0.6000000000000001,0.12403357441628797,0.8759664255837121,0.2257805859514722,0.14159626532904673,0.1741173002793039,0.8258826997206961,0.3791632016499479,0.21082570241293144,0.11071573806978013,0.8892842619302199,0.22519297529637447,0.12449982846819765,0.05008372586301592,-0.050083725863016015,0.15338261569847567,1.4889213491825277,-0.013317836346507836,0.01331783634650785,-0.0005876106550977422,0.8792592670356119
coupling,g,0.8,2.0,0.7853981633974483,0.8,0.1429146767845573,0.8570853232154427,0.258986841802572,0.16674498199128923,0.17414732061990462,0.8258526793800953,0.37923610582575096,0.21086971680060873,0.12411693590837436,0.8758830640916256,0.2577376854377192,0.14170491586921535,0.031232643835347323,-0.031232643835347407,0.12024926402317898,1.264624064139001,-0.01879774087618294,0.01879774087618291,-0.0012491563648527881,0.8498301668629406
coupling,g,1.0,2.0,0.7853981633974483,1.0,0.15264871163127142,0.8473512883687286,0.2738770862599036,0.18014808465700433,0.17414732681933076,0.8258526731806692,0.3792361208810114,0.2108697258902413,0.13076898521192853,0.8692310147880715,0.2738921381245252,0.15044215287671425,0.021498615188059345,-0.0214986151880594,0.1053590346211078,1.1705354863568487,-0.021879726419342882,0.021879726419342882,1.5051864621584699e-05,0.8351027054389775
coupling,g,1.2000000000000002,2.0,0.7853981633974483,1.2000000000000002,0.15870551189639676,0.8412944881036033,0.28219874553336727,0.1886444213537419,0.174147326819444,0.825852673180556,0.3792361208812867,0.21086972589040734,0.13444930042287062,0.8655506995771294,0.28282975647860664,0.15533382445252109,0.015441814923047248,-0.015441814923047303,0.09703737534791945,1.1178158589433664,-0.024256211473526135,0.02425621147352608,0.0006310109452393742,0.8234212458434829
coupling,g,1.4000000000000001,2.0,0.7853981633974483,1.4000000000000001,0.162999041883211,0.837000958116789,0.28771552436849174,0.19474176260198175,0.17414732681944428,0.8258526731805558,0.3792361208812868,0.21086972589040773,0.1366781637281545,0.8633218362718456,0.2882425345816383,0.1583165836721832,0.011148284936233294,-0.01114828493623321,0.09152059651279504,1.0828171783645026,-0.026320878155056487,0.02632087815505657,0.0005270102131465504,0.8129565099796017
coupling,g,1.6,2.0,0.7853981633974483,1.6,0.16625890076292388,0.833741099237076,0.2917348139672737,0.19941310427788786,0.17414732681944428,0.8258526731805558,0.3792361208812867,0.21086972589040773,0.1381251534953779,0.8618748465046221,0.29175653856239864,0.1602612653746093,0.007888426056520403,-0.007888426056520181,0.08750130691401303,1.0574516988439975,-0.028133747267545972,0.02813374726754614,2.1724595124950064e-05,0.8036646636385573
coupling,g,1.8,2.0,0.7853981633974483,1.8,0.16882942488271946,0.8311705751172805,0.2948181145893819,0.2031224756228854,0.174147326819444,0.825852673180556,0.3792361208812867,0.21086972589040734,0.13911626203716732,0.8608837379628327,0.2941634383484951,0.16159703790707852,0.005317901936724545,-0.005317901936724545,0.08441800629190482,1.0381407830116514,-0.029713162845552143,0.029713162845552143,-0.0006546762408867757,0.7955645351974614
coupling,g,2.0,2.0,0.7853981633974483,2.0,0.17090591693543924,0.8290940830645608,0.29725935390629976,0.2061357334787914,0.174147326819444,0.825852673180556,0.3792361208812868,0.21086972589040734,0.13982433253943788,0.8601756674605621,0.29588298234251514,0.16255322933306368,0.003241409884004759,-0.0032414098840047867,0.08197676697498701,1.0229654137675406,-0.031081584396001366,0.031081584396001283,-0.0013763715637846174,0.7885737547284019
angle,theta,0.0,2.0,0.0,0.5,0.017986209962091552,0.9820137900379085,0.0,0.018315638888734175,0.01798620996209155,0.9820137900379085,0.0,0.01831563888873417,0.01798620996209155,0.9820137900379085,0.0,0.01831563888873417,-3.469446951953614e-18,0.0,0.0,0.9999999999999998,-3.469446951953614e-18,0.0,0.0,0.9999999999999998
angle,theta,0.15707963267948966,2.0,0.15707963267948966,0.5,0.02163870374987025,0.9783612962501298,0.04810742867420379,0.022117293307500237,0.02355372016082502,0.976446279839175,0.08536607156338262,0.02412188017624935,0.022213877623947886,0.9777861223760521,0.06482240126840286,0.02271854459333851,0.0019150164109547688,-0.0019150164109548173,0.03725864288917883,1.0906343665510523,0.0005751738740776349,-0.0005751738740776835,0.016714972594199067,1.0271846684618675
angle,theta,0.3141592653589793,2.0,0.3141592653589793,0.5,0.03258840576068313,0.9674115942393169,0.09423492813040774,0.033686184820130916,0.04035443130545996,0.95964556869454,0.16718303395222053,0.042051391286427105,0.032556399273113434,0.9674436007268865,0.10889951493604225,0.03365198679142873,0.007766025544776831,-0.0077660255447769,0.0729481058218128,1.2483275120338688,-3.200648756969404e-05,3.200648756962465e-05,0.01466458680563451,0.9989848055253278
angle,theta,0.47123889803846897,2.0,0.47123889803846897,0.5,0.050788207870200434,0.9492117921297997,0.13611066820228843,0.05350566469074735,0.0686403701365591,0.9313596298634409,0.24142710559916838,0.07369910390750282,0.04843722872873524,0.9515627712712648,0.14513519320141466,0.050902820277451875,0.01785216226635867,-0.017852162266358773,0.10531643739687996,1.3774075013079408,-0.0023509791414651968,0.0023509791414650927,0.009024524999126232,0.9513538533099359
angle,theta,0.6283185307179586,2.0,0.6283185307179586,0.5,0.07606061883035656,0.9239393811696434,0.17084415459685778,0.08232208776951262,0.1106773750252702,0.8893226249747298,0.3098233100595311,0.12445132049622049,0.07041718506716954,0.9295828149328305,0.1752522826272808,0.0757513843156166,0.03461675619491364,-0.034616756194913556,0.13897915546267334,1.51176098503068,-0.005643433763187017,0.0056434337631871,0.004408128030423009,0.9201829833046407
angle,theta,0.7853981633974483,2.0,0.7853981633974483,0.5,0.10787756975607238,0.8921224302439275,0.19458177143437683,0.12092238251040957,0.17330934946536908,0.826690650534631,0.377201099055488,0.20964232431235044,0.09898589582933093,0.9010141041706691,0.19670713990188982,0.10986053977528096,0.0654317797092967,-0.06543177970929648,0.18261932762111116,1.7336932994543293,-0.00889167392674145,0.008891673926741617,0.002125368467512989,0.9085211314441612
angle,theta,0.9424777960769379,2.0,0.9424777960769379,0.5,0.14491522444648758,0.8550847755535125,0.20231643994432452,0.169474686708907,0.2690448179862257,0.7309551820137743,0.4429686044358482,0.3680729333432043,0.13382643560503948,0.8661735643949605,0.20438886160660025,0.15450302468942229,0.12412959353973813,-0.12412959353973818,0.24065216449152366,2.1718460761955174,-0.011088788841448094,0.011088788841448038,0.0020724216622757252,0.9116584174886228
angle,theta,1.0995574287564276,2.0,1.0995574287564276,0.5,0.18433512629295395,0.8156648737070462,0.18834183033012308,0.22599370432023735,0.41614802642883575,0.5838519735711643,0.49267698957659833,0.7127629009857454,0.1727901500764945,0.8272098499235054,0.19155111323069365,0.2088830906600942,0.2318129001358818,-0.23181290013588196,0.30433515924647525,3.153906004282964,-0.011544976216459446,0.011544976216459224,0.0032092829005705703,0.9242872109574473
angle,theta,1.2566370614359172,2.0,1.2566370614359172,0.5,0.22104883946638942,0.7789511605336106,0.14818017374013392,0.2837775340304554,0.6297237099627166,0.37027629003728335,0.4827007034171786,1.7006860198888494,0.2107344293200189,0.7892655706799812,0.15209089040051527,0.267000661309049,0.4086748704963272,-0.4086748704963272,0.33452052967704465,5.9930255779385595,-0.010314410146370523,0.010314410146370578,0.0039107166603813415,0.9408801941326126
angle,theta,1.413716694115407,2.0,1.413716694115407,0.5,0.24788159196610002,0.7521184080339001,0.08235752270086272,0.32957788204397637,0.8755522271730485,0.12444777282695157,0.3298502870998997,7.035499368803736,0.239416732930884,0.7605832670691159,0.08517002785567455,0.314780436668649,0.6276706352069484,-0.6276706352069485,0.247492764399037,21.34700097339958,-0.008464859035216016,0.008464859035215877,0.002812505154811837,0.955101825148106
angle,theta,1.5707963267948966,2.0,1.5707963267948966,0.5,0.25783015715632535,0.7421698428436747,1.952466153046355e-17,0.3474004766461965,0.9998384996039794,0.0001615003960205863,1.4600368009043384e-16,6190.935280905013,0.25024611634985783,0.7497538836501422,3.453757905116448e-17,0.3337710171390459,0.742008342447654,-0.7420083424476541,1.2647901855997028e-16,17820.744924337152,-0.007584040806467518,0.0075840408064674625,1.5012917520700932e-17,0.9607672976193661
temperature,beta,0.2,0.2,1.5707963267948966,0.5,0.4171092362821627,0.5828907637178373,1.1104833838429517e-17,0.7155873145453969,0.41759265122218503,0.582407348777815,1.012820244968208e-18,0.7170113016233493,0.41510737006916987,0.5848926299308301,8.582075342851921e-19,0.7097155081579004,0.0004834149400223531,-0.0004834149400223531,-1.0092013593461308e-17,1.0019899557314778,-0.002001866212992809,0.002001866212992809,-1.0246626304144325e-17,0.9917944235900453
temperature,beta,0.78,0.78,1.5707963267948966,0.5,0.307164783426711,0.692835216573289,1.5362465087326882e-17,0.4433446454207755,0.38565653772439745,0.6143434622756025,1.6104292847519144e-17,0.6277539542715714,0.28225323850956624,0.7177467614904338,8.249767728833568e-18,0.3932490589347342,0.07849175429768646,-0.0784917542976864,7.418277601922617e-19,1.415950233651236,-0.024911544917144757,0.024911544917144868,-7.112697358493314e-18,0.887005319668413
temperature,beta,1.3599999999999999,1.3599999999999999,1.5707963267948966,0.5,0.27348138246430265,0.7265186175356974,4.396194990640967e-18,0.3764272186058125,0.7866463368565495,0.21335366314345056,7.58562190443362e-17,3.6870533426353203,0.23931225547182694,0.760687744528173,1.8576640735197976e-17,0.31459985676549007,0.5131649543922469,-0.5131649543922467,7.146002405369523e-17,9.79486381535107,-0.03416912699247571,0.03416912699247565,1.4180445744557007e-17,0.8357521486641833
temperature,beta,1.9399999999999997,1.9399999999999997,1.5707963267948966,0.5,0.2589166292386949,0.7410833707613051,7.839944255322614e-18,0.3493758454905192,0.9994948701773161,0.000505129822683914,1.412549069240247e-16,1978.6890919777506,0.2473644622829414,0.7526355377170586,3.2762874626752553e-17,0.3286643400247387,0.7405782409386212,-0.7405782409386212,1.334149626687021e-16,5663.49711211345,-0.011552166955753507,0.011552166955753451,2.492293037142994e-17,0.9407185535774466
temperature,beta,2.52,2.52,1.5707963267948966,0.5,0.2501148138764868,0.7498851861235132,8.790619394182111e-18,0.3335374781430748,0.999999999996345,3.654965219368478e-12,1.8661016827941199e-16,273600414771.9714,0.28416323106327523,0.7158367689367248,5.216296940147371e-17,0.3969665200145557,0.7498851861198582,-0.7498851861198582,1.7781954888522987e-16,820298865048.7047,0.034048417186788416,-0.034048417186788416,4.33723500072916e-17,1.190170658555715
temperature,beta,3.1,3.1,1.5707963267948966,0.5,0.24390278102992022,0.7560972189700799,8.201110446225087e-18,0.32258124340432454,1.0,0.0,2.278303066445424e-16,999999999999999.9,0.32405405027550827,0.6759459497244917,7.35167993510477e-17,0.4794082284354085,0.7560972189700798,-0.7560972189700799,2.1962919619831731e-16,3099994250895103.0,0.08015126924558805,-0.08015126924558813,6.531568890482261e-17,1.4861627519815725
temperature,beta,3.6799999999999997,3.6799999999999997,1.5707963267948966,0.5,0.23947683450398194,0.7605231654960181,1.9705646847718252e-17,0.31488433931896553,1.0,0.0,2.6146738628986875e-16,999999999999999.9,0.34855797493757124,0.6514420250624288,9.102817845709708e-17,0.535056016541408,0.7605231654960181,-0.7605231654960181,2.417617394421505e-16,3175769243280908.0,0.1090811404335893,-0.1090811404335893,7.132253160937883e-17,1.6992144407646046
temperature,beta,4.26,4.26,1.5707963267948966,0.5,0.23659121823056511,0.7634087817694349,9.378577595362578e-18,0.3099141952260388,0.9999999999997216,2.78388423424758e-13,2.871949181514198e-16,3592103391720.233,0.3554179376024538,0.6445820623975462,1.0203730513474435e-16,0.5513928455912409,0.7634087817691564,-0.7634087817691566,2.778163405560572e-16,11590638463979.68,0.11882671937188871,-0.11882671937188871,9.265872753938178e-17,1.7791790569292167
temperature,beta,4.84,4.84,1.5707963267948966,0.5,0.23511036601378618,0.7648896339862139,1.2775954593328906e-18,0.3073781570139879,1.0,0.0,3.063822549261793e-16,999999999999999.9,0.3505189940507989,0.6494810059492011,1.0738035867176534e-16,0.5396909083407662,0.7648896339862138,-0.7648896339862139,3.051046594668464e-16,3253321607867187.0,0.11540862803701271,-0.1154086280370128,1.0610276321243245e-16,1.7557880936744843
temperature,beta,5.42,5.42,1.5707963267948966,0.5,0.23490170085713877,0.7650982991428612,9.221292944924905e-18,0.3070215959443367,1.0,0.0,3.2070929848575203e-16,999999999999999.9,0.3396022382591841,0.6603977617408159,1.0890944447946111e-16,0.5142389298291817,0.7650982991428612,-0.7650982991428612,3.1148800554082713e-16,3257099869226466.0,0.10470053740204535,-0.10470053740204532,9.968815153453621e-17,1.6749275510977857
temperature,beta,6.0,6.0,1.5707963267948966,0.5,0.2358184352128152,0.7641815647871848,5.139259822745521e-18,0.3085895369361439,1.0,0.0,3.31567158439122e-16,999999999999999.9,0.32612076115051825,0.6738792388494818,1.0812956124330687e-16,0.48394540497687133,0.7641815647871848,-0.7641815647871848,3.2642789861637647e-16,3240550570601260.5,0.09030232593770304,-0.09030232593770304,1.0299030142056135e-16,1.5682495582376588
