key,status,error,timestamp,beta,theta,g,n_modes,n_cut,ordered_p00,ordered_coh,analytic_v12_p00,analytic_v12_coh,analytic_raw_p00,analytic_raw_coh,ed_p00,ed_coh,elapsed_s,analytic_scalebound_p00,analytic_scalebound_coh
0.60000000|2|6,ok,,2026-02-20 10:32:39,0.6,1.5707963267948966,0.5,2,6,0.3289834567267669,8.156610498446434e-18,0.311532114333834,5.6034702799387626e-18,0.3628146670590665,9.192920631552489e-18,0.2873777437352421,3.363916478734897e-17,0.068842599997879,0.36059919708377536,9.037513261387737e-18
1.63076923|2|6,ok,,2026-02-20 10:32:39,1.6307692307692307,1.5707963267948966,0.5,2,6,0.2682899329197803,1.403340444965622e-17,0.2404451903580123,2.4885139145322145e-17,0.97124012970106,1.1423742065123592e-16,0.2601252346217426,2.7107488256531068e-16,0.0689684000026318,0.9672635880553893,1.1364367642968988e-16
2.66153846|2|6,ok,,2026-02-20 10:32:39,2.661538461538462,1.5707963267948966,0.5,2,6,0.2514485492639486,1.4641222870092914e-17,0.2966037507833744,5.806010802476528e-17,1.0,1.980405826614873e-16,0.2818399377425862,5.522773845851858e-16,0.0678977999996277,1.0,1.9723889570822828e-16
3.69230769|2|6,ok,,2026-02-20 10:32:39,3.692307692307693,1.5707963267948966,0.5,2,6,0.2421348241473871,3.877449823331924e-18,0.3495480863455481,9.232230418945848e-17,1.0,2.6442446803553193e-16,0.293248484520678,8.297013538202183e-16,0.0677548000021488,1.0,2.6209234485969133e-16
4.72307692|2|6,ok,,2026-02-20 10:32:39,4.723076923076923,1.5707963267948966,0.5,2,6,0.2374274191896352,1.5746197783307328e-17,0.3522742268959858,1.0817420831567945e-16,1.0,3.0711847185682216e-16,0.2983172839330772,1.097537461866076e-15,0.0682048000016948,1.0,3.0295711428709814e-16
5.75384615|2|6,ok,,2026-02-20 10:32:39,5.753846153846154,1.5707963267948966,0.5,2,6,0.2366590190770161,6.974040805869295e-18,0.3320370215145246,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.3005378346374703,1.3573187064511585e-15,0.0678373999980976,0.9999999999944778,3.273101337341187e-16
6.78461538|2|6,ok,,2026-02-20 10:32:39,6.784615384615385,1.5707963267948966,0.5,2,6,0.2391104485666004,6.78838969289149e-18,0.3066730557697036,1.072332464507517e-16,1.0,3.4966735605918195e-16,0.3015235044551745,1.6116859769839285e-15,0.0679646999997203,1.0,3.4246812667180093e-16
7.81538462|2|6,ok,,2026-02-20 10:32:39,7.815384615384616,1.5707963267948966,0.5,2,6,0.2439769616788219,4.021467548710236e-18,0.2812808736180651,1.0149335694450267e-16,1.0,3.6082581035047823e-16,0.3019683726120595,1.862738413861796e-15,0.0684304000023985,1.0,3.5249931069027956e-16
8.84615385|2|6,ok,,2026-02-20 10:32:39,8.846153846153847,1.5707963267948966,0.5,2,6,0.2491658432682009,7.256274840149223e-18,0.2570069925612697,9.477139992076694e-17,1.0,3.687502998060666e-16,0.3021719161748022,2.111860274474647e-15,0.0674080000026151,1.0,3.594945060398117e-16
9.87692308|2|6,ok,,2026-02-20 10:32:39,9.876923076923076,1.5707963267948966,0.5,2,6,0.1372586525968836,8.815521408774453e-18,0.2341117036475777,8.770081789980059e-17,1.0,3.746109960455261e-16,0.3022659189115516,2.359892594061232e-15,0.0685359999988577,1.0,3.645778628712941e-16
10.90769231|2|6,ok,,2026-02-20 10:32:40,10.907692307692308,1.5707963267948966,0.5,2,6,0.2773849835654745,1.8310705880825248e-17,0.2126669346972161,8.061964910720125e-17,1.0,3.790887822888825e-16,0.3023095504717232,2.6073230405719306e-15,0.0713326000040979,0.9999998345444678,3.683951986818434e-16
11.93846154|2|6,ok,,2026-02-20 10:32:40,11.93846153846154,1.5707963267948966,0.5,2,6,0.357638538426593,5.382389204600089e-18,0.1926916091973316,7.372426124913351e-17,1.0,3.8260234362363717e-16,0.3023298072522767,2.8544256579851918e-15,0.0681485999957658,1.0,3.7133981102472023e-16
12.96923077|2|6,ok,,2026-02-20 10:32:40,12.969230769230771,1.5707963267948966,0.5,2,6,0.5,4.894244548200079e-34,0.1741771079684883,6.713168650161785e-17,0.999989783408255,3.85418046211834e-16,0.3023391498954073,3.1013508868985125e-15,0.0714083999991999,1.0,3.736633591691978e-16
14.00000000|2|6,ok,,2026-02-20 10:32:40,14.0,1.5707963267948966,0.5,2,6,0.4027216309267352,1.778968326176735e-18,0.1570981737463424,6.091070677931855e-17,1.0,3.877238374401448e-16,0.3023433756820715,3.348179770596293e-15,0.0697809999983292,1.0,3.7552885644972456e-16
0.60000000|2|8,ok,,2026-02-20 10:32:40,0.6,1.5707963267948966,0.5,2,8,0.3289834567267669,8.156610498446434e-18,0.311532114333834,5.6034702799387626e-18,0.3628146670590665,9.192920631552489e-18,0.3018946175052775,2.2395853268963548e-18,0.0063856999986455,0.36059919708377536,9.037513261387737e-18
1.63076923|2|8,ok,,2026-02-20 10:32:40,1.6307692307692307,1.5707963267948966,0.5,2,8,0.2682899329197803,1.403340444965622e-17,0.2404451903580123,2.4885139145322145e-17,0.97124012970106,1.1423742065123592e-16,0.2979598149617761,6.172995788998283e-17,0.0064373999994131,0.9672635880553893,1.1364367642968988e-16
2.66153846|2|8,ok,,2026-02-20 10:32:40,2.661538461538462,1.5707963267948966,0.5,2,8,0.2514485492639486,1.4641222870092914e-17,0.2966037507833744,5.806010802476528e-17,1.0,1.980405826614873e-16,0.3202794925521559,1.128240643013241e-16,0.006203999997524,1.0,1.9723889570822828e-16
3.69230769|2|8,ok,,2026-02-20 10:32:40,3.692307692307693,1.5707963267948966,0.5,2,8,0.2421348241473871,3.877449823331924e-18,0.3495480863455481,9.232230418945848e-17,1.0,2.6442446803553193e-16,0.3296917860407202,1.4283334242425854e-16,0.0063372000004164,1.0,2.6209234485969133e-16
4.72307692|2|8,ok,,2026-02-20 10:32:40,4.723076923076923,1.5707963267948966,0.5,2,8,0.2374274191896352,1.5746197783307328e-17,0.3522742268959858,1.0817420831567945e-16,1.0,3.0711847185682216e-16,0.3334651943785537,1.6700641066067111e-16,0.0059213999993517,1.0,3.0295711428709814e-16
5.75384615|2|8,ok,,2026-02-20 10:32:40,5.753846153846154,1.5707963267948966,0.5,2,8,0.2366590190770161,6.974040805869295e-18,0.3320370215145246,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.3350636427076096,1.928578371448233e-16,0.0061972000039531,0.9999999999944778,3.273101337341187e-16
6.78461538|2|8,ok,,2026-02-20 10:32:40,6.784615384615385,1.5707963267948966,0.5,2,8,0.2391104485666004,6.78838969289149e-18,0.3066730557697036,1.072332464507517e-16,1.0,3.4966735605918195e-16,0.3357790334950812,2.2187273407608255e-16,0.0059786999991047,1.0,3.4246812667180093e-16
7.81538462|2|8,ok,,2026-02-20 10:32:40,7.815384615384616,1.5707963267948966,0.5,2,8,0.2439769616788219,4.021467548710236e-18,0.2812808736180651,1.0149335694450267e-16,1.0,3.6082581035047823e-16,0.336111626114296,2.5350102030321643e-16,0.0062677000023541,1.0,3.5249931069027956e-16
8.84615385|2|8,ok,,2026-02-20 10:32:40,8.846153846153847,1.5707963267948966,0.5,2,8,0.2491658432682009,7.256274840149223e-18,0.2570069925612697,9.477139992076694e-17,1.0,3.687502998060666e-16,0.3362698697034345,2.8688478378516635e-16,0.0060009000007994,1.0,3.594945060398117e-16
9.87692308|2|8,ok,,2026-02-20 10:32:40,9.876923076923076,1.5707963267948966,0.5,2,8,0.1372586525968836,8.815521408774453e-18,0.2341117036475777,8.770081789980059e-17,1.0,3.746109960455261e-16,0.3363461569920752,3.213441026795733e-16,0.006240800001251,1.0,3.645778628712941e-16
10.90769231|2|8,ok,,2026-02-20 10:32:40,10.907692307692308,1.5707963267948966,0.5,2,8,0.2773849835654745,1.8310705880825248e-17,0.2126669346972161,8.061964910720125e-17,1.0,3.790887822888825e-16,0.3363831912357122,3.5643022509145596e-16,0.0060572000002139,0.9999998345444678,3.683951986818434e-16
11.93846154|2|8,ok,,2026-02-20 10:32:40,11.93846153846154,1.5707963267948966,0.5,2,8,0.357638538426593,5.382389204600089e-18,0.1926916091973316,7.372426124913351e-17,1.0,3.8260234362363717e-16,0.336401222570533,3.9187056729092833e-16,0.0061442000005627,1.0,3.7133981102472023e-16
12.96923077|2|8,ok,,2026-02-20 10:32:40,12.969230769230771,1.5707963267948966,0.5,2,8,0.5,4.894244548200079e-34,0.1741771079684883,6.713168650161785e-17,0.999989783408255,3.85418046211834e-16,0.3364099985276337,4.2750698008557353e-16,0.0064050000000861,1.0,3.736633591691978e-16
14.00000000|2|8,ok,,2026-02-20 10:32:40,14.0,1.5707963267948966,0.5,2,8,0.4027216309267352,1.778968326176735e-18,0.1570981737463424,6.091070677931855e-17,1.0,3.877238374401448e-16,0.3364142513221711,4.632502905636166e-16,0.0062772000019322,1.0,3.7552885644972456e-16
0.60000000|2|10,ok,,2026-02-20 10:32:40,0.6,1.5707963267948966,0.5,2,10,0.3289834567267669,8.156610498446434e-18,0.311532114333834,5.6034702799387626e-18,0.3628146670590665,9.192920631552489e-18,0.3143041236350304,3.538991361280391e-18,0.0131305000031716,0.36059919708377536,9.037513261387737e-18
1.63076923|2|10,ok,,2026-02-20 10:32:40,1.6307692307692307,1.5707963267948966,0.5,2,10,0.2682899329197803,1.403340444965622e-17,0.2404451903580123,2.4885139145322145e-17,0.97124012970106,1.1423742065123592e-16,0.3243279203548238,8.49801853433297e-17,0.0127499000009265,0.9672635880553893,1.1364367642968988e-16
2.66153846|2|10,ok,,2026-02-20 10:32:40,2.661538461538462,1.5707963267948966,0.5,2,10,0.2514485492639486,1.4641222870092914e-17,0.2966037507833744,5.806010802476528e-17,1.0,1.980405826614873e-16,0.3449248064880582,1.8459106548855676e-16,0.0127530999961891,1.0,1.9723889570822828e-16
3.69230769|2|10,ok,,2026-02-20 10:32:40,3.692307692307693,1.5707963267948966,0.5,2,10,0.2421348241473871,3.877449823331924e-18,0.3495480863455481,9.232230418945848e-17,1.0,2.6442446803553193e-16,0.3525771323728455,2.6344751513849126e-16,0.0124314999993657,1.0,2.6209234485969133e-16
4.72307692|2|10,ok,,2026-02-20 10:32:40,4.723076923076923,1.5707963267948966,0.5,2,10,0.2374274191896352,1.5746197783307328e-17,0.3522742268959858,1.0817420831567945e-16,1.0,3.0711847185682216e-16,0.3555662892449298,3.280150636335946e-16,0.0124058000001241,1.0,3.0295711428709814e-16
5.75384615|2|10,ok,,2026-02-20 10:32:40,5.753846153846154,1.5707963267948966,0.5,2,10,0.2366590190770161,6.974040805869295e-18,0.3320370215145246,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.3568653802337828,3.880596092751776e-16,0.0128932000006898,0.9999999999944778,3.273101337341187e-16
6.78461538|2|10,ok,,2026-02-20 10:32:40,6.784615384615385,1.5707963267948966,0.5,2,10,0.2391104485666004,6.78838969289149e-18,0.3066730557697036,1.072332464507517e-16,1.0,3.4966735605918195e-16,0.3574736168764224,4.48045516070082e-16,0.0128935000029741,1.0,3.4246812667180093e-16
7.81538462|2|10,ok,,2026-02-20 10:32:40,7.815384615384616,1.5707963267948966,0.5,2,10,0.2439769616788219,4.021467548710236e-18,0.2812808736180651,1.0149335694450267e-16,1.0,3.6082581035047823e-16,0.3577708239045326,5.091943956966263e-16,0.0133227999976952,1.0,3.5249931069027956e-16
8.84615385|2|10,ok,,2026-02-20 10:32:40,8.846153846153847,1.5707963267948966,0.5,2,10,0.2491658432682009,7.256274840149223e-18,0.2570069925612697,9.477139992076694e-17,1.0,3.687502998060666e-16,0.3579194581108752,5.7150405190257185e-16,0.0136695999972289,1.0,3.594945060398117e-16
9.87692308|2|10,ok,,2026-02-20 10:32:40,9.876923076923076,1.5707963267948966,0.5,2,10,0.1372586525968836,8.815521408774453e-18,0.2341117036475777,8.770081789980059e-17,1.0,3.746109960455261e-16,0.3579947243086602,6.34669761478607e-16,0.0129162000012001,1.0,3.645778628712941e-16
10.90769231|2|10,ok,,2026-02-20 10:32:40,10.907692307692308,1.5707963267948966,0.5,2,10,0.2773849835654745,1.8310705880825248e-17,0.2126669346972161,8.061964910720125e-17,1.0,3.790887822888825e-16,0.3580330934071782,6.983961153021042e-16,0.012898299995868,0.9999998345444678,3.683951986818434e-16
11.93846154|2|10,ok,,2026-02-20 10:32:40,11.93846153846154,1.5707963267948966,0.5,2,10,0.357638538426593,5.382389204600089e-18,0.1926916091973316,7.372426124913351e-17,1.0,3.8260234362363717e-16,0.3580527197447792,7.624679016853796e-16,0.0126977000036276,1.0,3.7133981102472023e-16
12.96923077|2|10,ok,,2026-02-20 10:32:40,12.969230769230771,1.5707963267948966,0.5,2,10,0.5,4.894244548200079e-34,0.1741771079684883,6.713168650161785e-17,0.999989783408255,3.85418046211834e-16,0.3580627721243774,8.267450040139347e-16,0.0124658999993698,1.0,3.736633591691978e-16
14.00000000|2|10,ok,,2026-02-20 10:32:40,14.0,1.5707963267948966,0.5,2,10,0.4027216309267352,1.778968326176735e-18,0.1570981737463424,6.091070677931855e-17,1.0,3.877238374401448e-16,0.3580679188077292,8.911413301588441e-16,0.0126901000039651,1.0,3.7552885644972456e-16
0.60000000|2|12,ok,,2026-02-20 10:32:40,0.6,1.5707963267948966,0.5,2,12,0.3289834567267669,8.156610498446434e-18,0.311532114333834,5.6034702799387626e-18,0.3628146670590665,9.192920631552489e-18,0.3250197356695671,6.745607124699173e-18,0.0309890999997151,0.36059919708377536,9.037513261387737e-18
1.63076923|2|12,ok,,2026-02-20 10:32:40,1.6307692307692307,1.5707963267948966,0.5,2,12,0.2682899329197803,1.403340444965622e-17,0.2404451903580123,2.4885139145322145e-17,0.97124012970106,1.1423742065123592e-16,0.3435604313527269,4.303182814447759e-17,0.0301860000035958,0.9672635880553893,1.1364367642968988e-16
2.66153846|2|12,ok,,2026-02-20 10:32:40,2.661538461538462,1.5707963267948966,0.5,2,12,0.2514485492639486,1.4641222870092914e-17,0.2966037507833744,5.806010802476528e-17,1.0,1.980405826614873e-16,0.3620265290373814,8.460413948252393e-17,0.0305766999954357,1.0,1.9723889570822828e-16
3.69230769|2|12,ok,,2026-02-20 10:32:40,3.692307692307693,1.5707963267948966,0.5,2,12,0.2421348241473871,3.877449823331924e-18,0.3495480863455481,9.232230418945848e-17,1.0,2.6442446803553193e-16,0.3684150579893501,1.2402596561223406e-16,0.0307065000015427,1.0,2.6209234485969133e-16
4.72307692|2|12,ok,,2026-02-20 10:32:40,4.723076923076923,1.5707963267948966,0.5,2,12,0.2374274191896352,1.5746197783307328e-17,0.3522742268959858,1.0817420831567945e-16,1.0,3.0711847185682216e-16,0.3709351343726417,1.641968330309846e-16,0.0307271999990916,1.0,3.0295711428709814e-16
5.75384615|2|12,ok,,2026-02-20 10:32:40,5.753846153846154,1.5707963267948966,0.5,2,12,0.2366590190770161,6.974040805869295e-18,0.3320370215145246,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.3720738239254952,2.0523128007660668e-16,0.0300260000003618,0.9999999999944778,3.273101337341187e-16
6.78461538|2|12,ok,,2026-02-20 10:32:40,6.784615384615385,1.5707963267948966,0.5,2,12,0.2391104485666004,6.78838969289149e-18,0.3066730557697036,1.072332464507517e-16,1.0,3.4966735605918195e-16,0.3726310921717137,2.4632244818509693e-16,0.0305369999987306,1.0,3.4246812667180093e-16
7.81538462|2|12,ok,,2026-02-20 10:32:40,7.815384615384616,1.5707963267948966,0.5,2,12,0.2439769616788219,4.021467548710236e-18,0.2812808736180651,1.0149335694450267e-16,1.0,3.6082581035047823e-16,0.3729156199720315,2.8703647773074607e-16,0.0327475999947637,1.0,3.5249931069027956e-16
8.84615385|2|12,ok,,2026-02-20 10:32:40,8.846153846153847,1.5707963267948966,0.5,2,12,0.2491658432682009,7.256274840149223e-18,0.2570069925612697,9.477139992076694e-17,1.0,3.687502998060666e-16,0.3730642160332177,3.273004640555697e-16,0.0296066000009886,1.0,3.594945060398117e-16
9.87692308|2|12,ok,,2026-02-20 10:32:40,9.876923076923076,1.5707963267948966,0.5,2,12,0.1372586525968836,8.815521408774453e-18,0.2341117036475777,8.770081789980059e-17,1.0,3.746109960455261e-16,0.3731427897955771,3.6719262653702253e-16,0.0293290999979944,1.0,3.645778628712941e-16
10.90769231|2|12,ok,,2026-02-20 10:32:40,10.907692307692308,1.5707963267948966,0.5,2,12,0.2773849835654745,1.8310705880825248e-17,0.2126669346972161,8.061964910720125e-17,1.0,3.790887822888825e-16,0.3731846267515848,4.0681965326837077e-16,0.0297483999966061,0.9999998345444678,3.683951986818434e-16
11.93846154|2|12,ok,,2026-02-20 10:32:41,11.93846153846154,1.5707963267948966,0.5,2,12,0.357638538426593,5.382389204600089e-18,0.1926916091973316,7.372426124913351e-17,1.0,3.8260234362363717e-16,0.3732069893940193,4.462715237235109e-16,0.0339855999991414,1.0,3.7133981102472023e-16
12.96923077|2|12,ok,,2026-02-20 10:32:41,12.969230769230771,1.5707963267948966,0.5,2,12,0.5,4.894244548200079e-34,0.1741771079684883,6.713168650161785e-17,0.999989783408255,3.85418046211834e-16,0.3732189671379808,4.856127413445581e-16,0.0306033000015304,1.0,3.736633591691978e-16
14.00000000|2|12,ok,,2026-02-20 10:32:41,14.0,1.5707963267948966,0.5,2,12,0.4027216309267352,1.778968326176735e-18,0.1570981737463424,6.091070677931855e-17,1.0,3.877238374401448e-16,0.3732253879524057,5.248860078959661e-16,0.0302416000049561,1.0,3.7552885644972456e-16
0.60000000|3|4,ok,,2026-02-20 10:32:41,0.6,1.5707963267948966,0.5,3,4,0.3289834567267669,8.156610498446434e-18,0.311532114333834,5.6034702799387626e-18,0.3628146670590665,9.192920631552489e-18,0.2758592045019687,5.626817340958425e-18,0.0065143000028911,0.36059919708377536,9.037513261387737e-18
1.63076923|3|4,ok,,2026-02-20 10:32:41,1.6307692307692307,1.5707963267948966,0.5,3,4,0.2682899329197803,1.403340444965622e-17,0.2404451903580123,2.4885139145322145e-17,0.97124012970106,1.1423742065123592e-16,0.1792896402313683,8.124606517416985e-18,0.0059070999996038,0.9672635880553893,1.1364367642968988e-16
2.66153846|3|4,ok,,2026-02-20 10:32:41,2.661538461538462,1.5707963267948966,0.5,3,4,0.2514485492639486,1.4641222870092914e-17,0.2966037507833744,5.806010802476528e-17,1.0,1.980405826614873e-16,0.1778342297461936,7.56990037935646e-18,0.005892400004086,1.0,1.9723889570822828e-16
3.69230769|3|4,ok,,2026-02-20 10:32:41,3.692307692307693,1.5707963267948966,0.5,3,4,0.2421348241473871,3.877449823331924e-18,0.3495480863455481,9.232230418945848e-17,1.0,2.6442446803553193e-16,0.1854387084102235,7.701089401917914e-18,0.0061204000012367,1.0,2.6209234485969133e-16
4.72307692|3|4,ok,,2026-02-20 10:32:41,4.723076923076923,1.5707963267948966,0.5,3,4,0.2374274191896352,1.5746197783307328e-17,0.3522742268959858,1.0817420831567945e-16,1.0,3.0711847185682216e-16,0.1920699597202911,8.522342345167894e-18,0.0058846999963861,1.0,3.0295711428709814e-16
5.75384615|3|4,ok,,2026-02-20 10:32:41,5.753846153846154,1.5707963267948966,0.5,3,4,0.2366590190770161,6.974040805869295e-18,0.3320370215145246,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.1969780688924299,9.700973252988297e-18,0.0060567999971681,0.9999999999944778,3.273101337341187e-16
